    Time,sec      Abs(UY,mm)      Abs(UZ,mm)   Phase(UY,deg)   Phase(UZ,deg)       Freqz(Hz)=189.16       Freqy(Hz)=189.16
    0.004550        0.005123        0.005123       17.675229          -72.32       25.05        1.53
    0.004600        0.005161        0.005161       17.892394          -72.11       25.25        1.53
    0.004650        0.005198        0.005198       18.109998          -71.89       25.44        1.53
    0.004700        0.005236        0.005236       18.328041          -71.67       25.64        1.53
    0.004750        0.005273        0.005273       18.546522          -71.45       25.83        1.53
    0.004800        0.005309        0.005309       18.765442          -71.23       26.02        1.53
    0.004850        0.005346        0.005346       18.984802          -71.02       26.21        1.53
    0.004900        0.005382        0.005382       19.204602          -70.80       26.40        1.53
    0.004950        0.005417        0.005417       19.424842          -70.58       26.58        1.53
    0.005000        0.005452        0.005452       19.645522          -70.35       26.77        1.53
    0.005050        0.005487        0.005487       19.866643          -70.13       26.95        1.54
    0.005100        0.005522        0.005522       20.088206          -69.91       27.13        1.54
    0.005150        0.005556        0.005556       20.310210          -69.69       27.31        1.54
    0.005200        0.005590        0.005590       20.532655          -69.47       27.49        1.54
    0.005250        0.005623        0.005623       20.755543          -69.24       27.66        1.54
    0.005300        0.005657        0.005657       20.978873          -69.02       27.84        1.54
    0.005350        0.005689        0.005689       21.202646          -68.80       28.01        1.54
    0.005400        0.005722        0.005722       21.426862          -68.57       28.18        1.54
    0.005450        0.005754        0.005754       21.651521          -68.35       28.35        1.54
    0.005500        0.005786        0.005786       21.876623          -68.12       28.52        1.54
    0.005550        0.005817        0.005817       22.102170          -67.90       28.68        1.54
    0.005600        0.005849        0.005849       22.328160          -67.67       28.85        1.54
    0.005650        0.005880        0.005880       22.554595          -67.45       29.01        1.54
    0.005700        0.005910        0.005910       22.781475          -67.22       29.17        1.54
    0.005750        0.005940        0.005940       23.008800          -66.99       29.33        1.54
    0.005800        0.005970        0.005970       23.236570          -66.76       29.49        1.54
    0.005850        0.006000        0.006000       23.464785          -66.54       29.65        1.54
    0.005900        0.006029        0.006029       23.693446          -66.31       29.81        1.54
    0.005950        0.006058        0.006058       23.922553          -66.08       29.96        1.54
    0.006000        0.006087        0.006087       24.152107          -65.85       30.11        1.54
    0.006050        0.006116        0.006116       24.382106          -65.62       30.26        1.54
    0.006100        0.006144        0.006144       24.612553          -65.39       30.41        1.54
    0.006150        0.006171        0.006171       24.843446          -65.16       30.56        1.54
    0.006200        0.006199        0.006199       25.074787          -64.93       30.71        1.54
    0.006250        0.006226        0.006226       25.306575          -64.69       30.85        1.54
    0.006300        0.006253        0.006253       25.538810          -64.46       31.00        1.54
    0.006350        0.006280        0.006280       25.771493          -64.23       31.14        1.54
