    Freq(Hz)    Mag(0,0)  Phase(0,0)    Freq(Hz)    Mag(0,1)  Phase(0,1)    Freq(Hz)    Mag(0,2)  Phase(0,2)    Freq(Hz)    Mag(1,0)  Phase(1,0)    Freq(Hz)    Mag(1,1)  Phase(1,1)    Freq(Hz)    Mag(1,2)  Phase(1,2)    Freq(Hz)    Mag(2,0)  Phase(2,0)    Freq(Hz)    Mag(2,1)  Phase(2,1)    Freq(Hz)    Mag(2,2)  Phase(2,2)
      106.00      0.0030      -90.00      106.00      0.0000       90.00      106.00      0.0000       90.00      106.00      0.0000       90.00      106.00      0.0015      -90.00      106.00      0.0000       90.00      106.00      0.0000       90.00      106.00      0.0000       90.00      106.00      0.0010      -90.00
      107.00      0.0030      -90.00      107.00      0.0000       90.00      107.00      0.0000       90.00      107.00      0.0000       90.00      107.00      0.0015      -90.00      107.00      0.0000       90.00      107.00      0.0000       90.00      107.00      0.0000       90.00      107.00      0.0010      -90.00
      108.00      0.0030      -90.00      108.00      0.0000       90.00      108.00      0.0000       90.00      108.00      0.0000       90.00      108.00      0.0015      -90.00      108.00      0.0000       90.00      108.00      0.0000       90.00      108.00      0.0000       90.00      108.00      0.0010      -90.00
      109.00      0.0030      -90.00      109.00      0.0000       90.00      109.00      0.0000       90.00      109.00      0.0000       90.00      109.00      0.0015      -90.00      109.00      0.0000       90.00      109.00      0.0000       90.00      109.00      0.0000       90.00      109.00      0.0010      -90.00
      110.00      0.0029      -90.00      110.00      0.0000       90.00      110.00      0.0000       90.00      110.00      0.0000       90.00      110.00      0.0015      -90.00      110.00      0.0000       90.00      110.00      0.0000       90.00      110.00      0.0000       90.00      110.00      0.0010      -90.00
      111.00      0.0029      -90.00      111.00      0.0000       90.00      111.00      0.0000       90.00      111.00      0.0000       90.00      111.00      0.0014      -90.00      111.00      0.0000       90.00      111.00      0.0000       90.00      111.00      0.0000       90.00      111.00      0.0010      -90.00
      112.00      0.0029      -90.00      112.00      0.0000       90.00      112.00      0.0000       90.00      112.00      0.0000       90.00      112.00      0.0014      -90.00      112.00      0.0000       90.00      112.00      0.0000       90.00      112.00      0.0000       90.00      112.00      0.0010      -90.00
      113.00      0.0029      -90.00      113.00      0.0000       90.00      113.00      0.0000       90.00      113.00      0.0000       90.00      113.00      0.0014      -90.00      113.00      0.0000       90.00      113.00      0.0000       90.00      113.00      0.0000       90.00      113.00      0.0009      -90.00
      114.00      0.0028      -90.00      114.00      0.0000       90.00      114.00      0.0000       90.00      114.00      0.0000       90.00      114.00      0.0014      -90.00      114.00      0.0000       90.00      114.00      0.0000       90.00      114.00      0.0000       90.00      114.00      0.0009      -90.00
      115.00      0.0028      -90.00      115.00      0.0000       90.00      115.00      0.0000       90.00      115.00      0.0000       90.00      115.00      0.0014      -90.00      115.00      0.0000       90.00      115.00      0.0000       90.00      115.00      0.0000       90.00      115.00      0.0009      -90.00
      116.00      0.0028      -90.00      116.00      0.0000       90.00      116.00      0.0000       90.00      116.00      0.0000       90.00      116.00      0.0014      -90.00      116.00      0.0000       90.00      116.00      0.0000       90.00      116.00      0.0000       90.00      116.00      0.0009      -90.00
      117.00      0.0028      -90.00      117.00      0.0000       90.00      117.00      0.0000       90.00      117.00      0.0000       90.00      117.00      0.0014      -90.00      117.00      0.0000       90.00      117.00      0.0000       90.00      117.00      0.0000       90.00      117.00      0.0009      -90.00
      118.00      0.0027      -90.00      118.00      0.0000       90.00      118.00      0.0000       90.00      118.00      0.0000       90.00      118.00      0.0014      -90.00      118.00      0.0000       90.00      118.00      0.0000       90.00      118.00      0.0000       90.00      118.00      0.0009      -90.00
      119.00      0.0027      -90.00      119.00      0.0000       90.00      119.00      0.0000       90.00      119.00      0.0000       90.00      119.00      0.0013      -90.00      119.00      0.0000       90.00      119.00      0.0000       90.00      119.00      0.0000       90.00      119.00      0.0009      -90.00
      120.00      0.0027      -90.00      120.00      0.0000       90.00      120.00      0.0000       90.00      120.00      0.0000       90.00      120.00      0.0013      -90.00      120.00      0.0000       90.00      120.00      0.0000       90.00      120.00      0.0000       90.00      120.00      0.0009      -90.00
      121.00      0.0027      -90.00      121.00      0.0000       90.00      121.00      0.0000       90.00      121.00      0.0000       90.00      121.00      0.0013      -90.00      121.00      0.0000       90.00      121.00      0.0000       90.00      121.00      0.0000       90.00      121.00      0.0009      -90.00
      122.00      0.0026      -90.00      122.00      0.0000       90.00      122.00      0.0000       90.00      122.00      0.0000       90.00      122.00      0.0013      -90.00      122.00      0.0000       90.00      122.00      0.0000       90.00      122.00      0.0000       90.00      122.00      0.0009      -90.00
      123.00      0.0026      -90.00      123.00      0.0000       90.00      123.00      0.0000       90.00      123.00      0.0000       90.00      123.00      0.0013      -90.00      123.00      0.0000       90.00      123.00      0.0000       90.00      123.00      0.0000       90.00      123.00      0.0009      -90.00
      124.00      0.0026      -90.00      124.00      0.0000       90.00      124.00      0.0000       90.00      124.00      0.0000       90.00      124.00      0.0013      -90.00      124.00      0.0000       90.00      124.00      0.0000       90.00      124.00      0.0000       90.00      124.00      0.0009      -90.00
      125.00      0.0026      -90.00      125.00      0.0000       90.00      125.00      0.0000       90.00      125.00      0.0000       90.00      125.00      0.0013      -90.00      125.00      0.0000       90.00      125.00      0.0000       90.00      125.00      0.0000       90.00      125.00      0.0009      -90.00
      126.00      0.0026      -90.00      126.00      0.0000       90.00      126.00      0.0000       90.00      126.00      0.0000       90.00      126.00      0.0013      -90.00      126.00      0.0000       90.00      126.00      0.0000       90.00      126.00      0.0000       90.00      126.00      0.0008      -90.00
      127.00      0.0025      -90.00      127.00      0.0000       90.00      127.00      0.0000       90.00      127.00      0.0000       90.00      127.00      0.0013      -90.00      127.00      0.0000       90.00      127.00      0.0000       90.00      127.00      0.0000       90.00      127.00      0.0008      -90.00
      128.00      0.0025      -90.00      128.00      0.0000       90.00      128.00      0.0000       90.00      128.00      0.0000       90.00      128.00      0.0012      -90.00      128.00      0.0000       90.00      128.00      0.0000       90.00      128.00      0.0000       90.00      128.00      0.0008      -90.00
      129.00      0.0025      -90.00      129.00      0.0000       90.00      129.00      0.0000       90.00      129.00      0.0000       90.00      129.00      0.0012      -90.00      129.00      0.0000       90.00      129.00      0.0000       90.00      129.00      0.0000       90.00      129.00      0.0008      -90.00
      130.00      0.0025      -90.00      130.00      0.0000       90.00      130.00      0.0000       90.00      130.00      0.0000       90.00      130.00      0.0012      -90.00      130.00      0.0000       90.00      130.00      0.0000       90.00      130.00      0.0000       90.00      130.00      0.0008      -90.00
      131.00      0.0025      -90.00      131.00      0.0000       90.00      131.00      0.0000       90.00      131.00      0.0000       90.00      131.00      0.0012      -90.00      131.00      0.0000       90.00      131.00      0.0000       90.00      131.00      0.0000       90.00      131.00      0.0008      -90.00
      132.00      0.0024      -90.00      132.00      0.0000       90.00      132.00      0.0000       90.00      132.00      0.0000       90.00      132.00      0.0012      -90.00      132.00      0.0000       90.00      132.00      0.0000       90.00      132.00      0.0000       90.00      132.00      0.0008      -90.00
      133.00      0.0024      -90.00      133.00      0.0000       90.00      133.00      0.0000       90.00      133.00      0.0000       90.00      133.00      0.0012      -90.00      133.00      0.0000       90.00      133.00      0.0000       90.00      133.00      0.0000       90.00      133.00      0.0008      -90.00
      134.00      0.0024      -90.00      134.00      0.0000       90.00      134.00      0.0000       90.00      134.00      0.0000       90.00      134.00      0.0012      -90.00      134.00      0.0000       90.00      134.00      0.0000       90.00      134.00      0.0000       90.00      134.00      0.0008      -90.00
      135.00      0.0024      -90.00      135.00      0.0000       90.00      135.00      0.0000       90.00      135.00      0.0000       90.00      135.00      0.0012      -90.00      135.00      0.0000       90.00      135.00      0.0000       90.00      135.00      0.0000       90.00      135.00      0.0008      -90.00
      136.00      0.0024      -90.00      136.00      0.0000       90.00      136.00      0.0000       90.00      136.00      0.0000       90.00      136.00      0.0012      -90.00      136.00      0.0000       90.00      136.00      0.0000       90.00      136.00      0.0000       90.00      136.00      0.0008      -90.00
      137.00      0.0023      -90.00      137.00      0.0000       90.00      137.00      0.0000       90.00      137.00      0.0000       90.00      137.00      0.0012      -90.00      137.00      0.0000       90.00      137.00      0.0000       90.00      137.00      0.0000       90.00      137.00      0.0008      -90.00
      138.00      0.0023      -90.00      138.00      0.0000       90.00      138.00      0.0000       90.00      138.00      0.0000       90.00      138.00      0.0012      -90.00      138.00      0.0000       90.00      138.00      0.0000       90.00      138.00      0.0000       90.00      138.00      0.0008      -90.00
      139.00      0.0023      -90.00      139.00      0.0000       90.00      139.00      0.0000       90.00      139.00      0.0000       90.00      139.00      0.0011      -90.00      139.00      0.0000       90.00      139.00      0.0000       90.00      139.00      0.0000       90.00      139.00      0.0008      -90.00
      140.00      0.0023      -90.00      140.00      0.0000       90.00      140.00      0.0000       90.00      140.00      0.0000       90.00      140.00      0.0011      -90.00      140.00      0.0000       90.00      140.00      0.0000       90.00      140.00      0.0000       90.00      140.00      0.0008      -90.00
      141.00      0.0023      -90.00      141.00      0.0000       90.00      141.00      0.0000       90.00      141.00      0.0000       90.00      141.00      0.0011      -90.00      141.00      0.0000       90.00      141.00      0.0000       90.00      141.00      0.0000       90.00      141.00      0.0008      -90.00
      142.00      0.0023      -90.00      142.00      0.0000       90.00      142.00      0.0000       90.00      142.00      0.0000       90.00      142.00      0.0011      -90.00      142.00      0.0000       90.00      142.00      0.0000       90.00      142.00      0.0000       90.00      142.00      0.0007      -90.00
      143.00      0.0022      -90.00      143.00      0.0000       90.00      143.00      0.0000       90.00      143.00      0.0000       90.00      143.00      0.0011      -90.00      143.00      0.0000       90.00      143.00      0.0000       90.00      143.00      0.0000       90.00      143.00      0.0007      -90.00
      144.00      0.0022      -90.00      144.00      0.0000       90.00      144.00      0.0000       90.00      144.00      0.0000       90.00      144.00      0.0011      -90.00      144.00      0.0000       90.00      144.00      0.0000       90.00      144.00      0.0000       90.00      144.00      0.0007      -90.00
      145.00      0.0022      -90.00      145.00      0.0000       90.00      145.00      0.0000       90.00      145.00      0.0000       90.00      145.00      0.0011      -90.00      145.00      0.0000       90.00      145.00      0.0000       90.00      145.00      0.0000       90.00      145.00      0.0007      -90.00
      146.00      0.0022      -90.00      146.00      0.0000       90.00      146.00      0.0000       90.00      146.00      0.0000       90.00      146.00      0.0011      -90.00      146.00      0.0000       90.00      146.00      0.0000       90.00      146.00      0.0000       90.00      146.00      0.0007      -90.00
      147.00      0.0022      -90.00      147.00      0.0000       90.00      147.00      0.0000       90.00      147.00      0.0000       90.00      147.00      0.0011      -90.00      147.00      0.0000       90.00      147.00      0.0000       90.00      147.00      0.0000       90.00      147.00      0.0007      -90.00
      148.00      0.0022      -90.00      148.00      0.0000       90.00      148.00      0.0000       90.00      148.00      0.0000       90.00      148.00      0.0011      -90.00      148.00      0.0000       90.00      148.00      0.0000       90.00      148.00      0.0000       90.00      148.00      0.0007      -90.00
      149.00      0.0022      -90.00      149.00      0.0000       90.00      149.00      0.0000       90.00      149.00      0.0000       90.00      149.00      0.0011      -90.00      149.00      0.0000       90.00      149.00      0.0000       90.00      149.00      0.0000       90.00      149.00      0.0007      -90.00
      150.00      0.0021      -90.00      150.00      0.0000       90.00      150.00      0.0000       90.00      150.00      0.0000       90.00      150.00      0.0011      -90.00      150.00      0.0000       90.00      150.00      0.0000       90.00      150.00      0.0000       90.00      150.00      0.0007      -90.00
      151.00      0.0021      -90.00      151.00      0.0000       90.00      151.00      0.0000       90.00      151.00      0.0000       90.00      151.00      0.0011      -90.00      151.00      0.0000       90.00      151.00      0.0000       90.00      151.00      0.0000       90.00      151.00      0.0007      -90.00
      152.00      0.0021      -90.00      152.00      0.0000       90.00      152.00      0.0000       90.00      152.00      0.0000       90.00      152.00      0.0011      -90.00      152.00      0.0000       90.00      152.00      0.0000       90.00      152.00      0.0000       90.00      152.00      0.0007      -90.00
      153.00      0.0021      -90.00      153.00      0.0000       90.00      153.00      0.0000       90.00      153.00      0.0000       90.00      153.00      0.0010      -90.00      153.00      0.0000       90.00      153.00      0.0000       90.00      153.00      0.0000       90.00      153.00      0.0007      -90.00
      154.00      0.0021      -90.00      154.00      0.0000       90.00      154.00      0.0000       90.00      154.00      0.0000       90.00      154.00      0.0010      -90.00      154.00      0.0000       90.00      154.00      0.0000       90.00      154.00      0.0000       90.00      154.00      0.0007      -90.00
      155.00      0.0021      -90.00      155.00      0.0000       90.00      155.00      0.0000       90.00      155.00      0.0000       90.00      155.00      0.0010      -90.00      155.00      0.0000       90.00      155.00      0.0000       90.00      155.00      0.0000       90.00      155.00      0.0007      -90.00
      156.00      0.0021      -90.00      156.00      0.0000       90.00      156.00      0.0000       90.00      156.00      0.0000       90.00      156.00      0.0010      -90.00      156.00      0.0000       90.00      156.00      0.0000       90.00      156.00      0.0000       90.00      156.00      0.0007      -90.00
      157.00      0.0020      -90.00      157.00      0.0000       90.00      157.00      0.0000       90.00      157.00      0.0000       90.00      157.00      0.0010      -90.00      157.00      0.0000       90.00      157.00      0.0000       90.00      157.00      0.0000       90.00      157.00      0.0007      -90.00
      158.00      0.0020      -90.00      158.00      0.0000       90.00      158.00      0.0000       90.00      158.00      0.0000       90.00      158.00      0.0010      -90.00      158.00      0.0000       90.00      158.00      0.0000       90.00      158.00      0.0000       90.00      158.00      0.0007      -90.00
      159.00      0.0020      -90.00      159.00      0.0000       90.00      159.00      0.0000       90.00      159.00      0.0000       90.00      159.00      0.0010      -90.00      159.00      0.0000       90.00      159.00      0.0000       90.00      159.00      0.0000       90.00      159.00      0.0007      -90.00
      160.00      0.0020      -90.00      160.00      0.0000       90.00      160.00      0.0000       90.00      160.00      0.0000       90.00      160.00      0.0010      -90.00      160.00      0.0000       90.00      160.00      0.0000       90.00      160.00      0.0000       90.00      160.00      0.0007      -90.00
      161.00      0.0020      -90.00      161.00      0.0000       90.00      161.00      0.0000       90.00      161.00      0.0000       90.00      161.00      0.0010      -90.00      161.00      0.0000       90.00      161.00      0.0000       90.00      161.00      0.0000       90.00      161.00      0.0007      -90.00
      162.00      0.0020      -90.00      162.00      0.0000       90.00      162.00      0.0000       90.00      162.00      0.0000       90.00      162.00      0.0010      -90.00      162.00      0.0000       90.00      162.00      0.0000       90.00      162.00      0.0000       90.00      162.00      0.0007      -90.00
      163.00      0.0020      -90.00      163.00      0.0000       90.00      163.00      0.0000       90.00      163.00      0.0000       90.00      163.00      0.0010      -90.00      163.00      0.0000       90.00      163.00      0.0000       90.00      163.00      0.0000       90.00      163.00      0.0007      -90.00
      164.00      0.0020      -90.00      164.00      0.0000       90.00      164.00      0.0000       90.00      164.00      0.0000       90.00      164.00      0.0010      -90.00      164.00      0.0000       90.00      164.00      0.0000       90.00      164.00      0.0000       90.00      164.00      0.0006      -90.00
      165.00      0.0019      -90.00      165.00      0.0000       90.00      165.00      0.0000       90.00      165.00      0.0000       90.00      165.00      0.0010      -90.00      165.00      0.0000       90.00      165.00      0.0000       90.00      165.00      0.0000       90.00      165.00      0.0006      -90.00
      166.00      0.0019      -90.00      166.00      0.0000       90.00      166.00      0.0000       90.00      166.00      0.0000       90.00      166.00      0.0010      -90.00      166.00      0.0000       90.00      166.00      0.0000       90.00      166.00      0.0000       90.00      166.00      0.0006      -90.00
      167.00      0.0019      -90.00      167.00      0.0000       90.00      167.00      0.0000       90.00      167.00      0.0000       90.00      167.00      0.0010      -90.00      167.00      0.0000       90.00      167.00      0.0000       90.00      167.00      0.0000       90.00      167.00      0.0006      -90.00
      168.00      0.0019      -90.00      168.00      0.0000       90.00      168.00      0.0000       90.00      168.00      0.0000       90.00      168.00      0.0009      -90.00      168.00      0.0000       90.00      168.00      0.0000       90.00      168.00      0.0000       90.00      168.00      0.0006      -90.00
      169.00      0.0019      -90.00      169.00      0.0000       90.00      169.00      0.0000       90.00      169.00      0.0000       90.00      169.00      0.0009      -90.00      169.00      0.0000       90.00      169.00      0.0000       90.00      169.00      0.0000       90.00      169.00      0.0006      -90.00
      170.00      0.0019      -90.00      170.00      0.0000       90.00      170.00      0.0000       90.00      170.00      0.0000       90.00      170.00      0.0009      -90.00      170.00      0.0000       90.00      170.00      0.0000       90.00      170.00      0.0000       90.00      170.00      0.0006      -90.00
      171.00      0.0019      -90.00      171.00      0.0000       90.00      171.00      0.0000       90.00      171.00      0.0000       90.00      171.00      0.0009      -90.00      171.00      0.0000       90.00      171.00      0.0000       90.00      171.00      0.0000       90.00      171.00      0.0006      -90.00
      172.00      0.0019      -90.00      172.00      0.0000       90.00      172.00      0.0000       90.00      172.00      0.0000       90.00      172.00      0.0009      -90.00      172.00      0.0000       90.00      172.00      0.0000       90.00      172.00      0.0000       90.00      172.00      0.0006      -90.00
      173.00      0.0018      -90.00      173.00      0.0000       90.00      173.00      0.0000       90.00      173.00      0.0000       90.00      173.00      0.0009      -90.00      173.00      0.0000       90.00      173.00      0.0000       90.00      173.00      0.0000       90.00      173.00      0.0006      -90.00
      174.00      0.0018      -90.00      174.00      0.0000       90.00      174.00      0.0000       90.00      174.00      0.0000       90.00      174.00      0.0009      -90.00      174.00      0.0000       90.00      174.00      0.0000       90.00      174.00      0.0000       90.00      174.00      0.0006      -90.00
      175.00      0.0018      -90.00      175.00      0.0000       90.00      175.00      0.0000       90.00      175.00      0.0000       90.00      175.00      0.0009      -90.00      175.00      0.0000       90.00      175.00      0.0000       90.00      175.00      0.0000       90.00      175.00      0.0006      -90.00
      176.00      0.0018      -90.00      176.00      0.0000       90.00      176.00      0.0000       90.00      176.00      0.0000       90.00      176.00      0.0009      -90.00      176.00      0.0000       90.00      176.00      0.0000       90.00      176.00      0.0000       90.00      176.00      0.0006      -90.00
      177.00      0.0018      -90.00      177.00      0.0000       90.00      177.00      0.0000       90.00      177.00      0.0000       90.00      177.00      0.0009      -90.00      177.00      0.0000       90.00      177.00      0.0000       90.00      177.00      0.0000       90.00      177.00      0.0006      -90.00
      178.00      0.0018      -90.00      178.00      0.0000       90.00      178.00      0.0000       90.00      178.00      0.0000       90.00      178.00      0.0009      -90.00      178.00      0.0000       90.00      178.00      0.0000       90.00      178.00      0.0000       90.00      178.00      0.0006      -90.00
      179.00      0.0018      -90.00      179.00      0.0000       90.00      179.00      0.0000       90.00      179.00      0.0000       90.00      179.00      0.0009      -90.00      179.00      0.0000       90.00      179.00      0.0000       90.00      179.00      0.0000       90.00      179.00      0.0006      -90.00
      180.00      0.0018      -90.00      180.00      0.0000       90.00      180.00      0.0000       90.00      180.00      0.0000       90.00      180.00      0.0009      -90.00      180.00      0.0000       90.00      180.00      0.0000       90.00      180.00      0.0000       90.00      180.00      0.0006      -90.00
      181.00      0.0018      -90.00      181.00      0.0000       90.00      181.00      0.0000       90.00      181.00      0.0000       90.00      181.00      0.0009      -90.00      181.00      0.0000       90.00      181.00      0.0000       90.00      181.00      0.0000       90.00      181.00      0.0006      -90.00
      182.00      0.0018      -90.00      182.00      0.0000       90.00      182.00      0.0000       90.00      182.00      0.0000       90.00      182.00      0.0009      -90.00      182.00      0.0000       90.00      182.00      0.0000       90.00      182.00      0.0000       90.00      182.00      0.0006      -90.00
      183.00      0.0017      -90.00      183.00      0.0000       90.00      183.00      0.0000       90.00      183.00      0.0000       90.00      183.00      0.0009      -90.00      183.00      0.0000       90.00      183.00      0.0000       90.00      183.00      0.0000       90.00      183.00      0.0006      -90.00
      184.00      0.0017      -90.00      184.00      0.0000       90.00      184.00      0.0000       90.00      184.00      0.0000       90.00      184.00      0.0009      -90.00      184.00      0.0000       90.00      184.00      0.0000       90.00      184.00      0.0000       90.00      184.00      0.0006      -90.00
      185.00      0.0017      -90.00      185.00      0.0000       90.00      185.00      0.0000       90.00      185.00      0.0000       90.00      185.00      0.0009      -90.00      185.00      0.0000       90.00      185.00      0.0000       90.00      185.00      0.0000       90.00      185.00      0.0006      -90.00
      186.00      0.0017      -90.00      186.00      0.0000       90.00      186.00      0.0000       90.00      186.00      0.0000       90.00      186.00      0.0009      -90.00      186.00      0.0000       90.00      186.00      0.0000       90.00      186.00      0.0000       90.00      186.00      0.0006      -90.00
      187.00      0.0017      -90.00      187.00      0.0000       90.00      187.00      0.0000       90.00      187.00      0.0000       90.00      187.00      0.0009      -90.00      187.00      0.0000       90.00      187.00      0.0000       90.00      187.00      0.0000       90.00      187.00      0.0006      -90.00
      188.00      0.0017      -90.00      188.00      0.0000       90.00      188.00      0.0000       90.00      188.00      0.0000       90.00      188.00      0.0008      -90.00      188.00      0.0000       90.00      188.00      0.0000       90.00      188.00      0.0000       90.00      188.00      0.0006      -90.00
      189.00      0.0017      -90.00      189.00      0.0000       90.00      189.00      0.0000       90.00      189.00      0.0000       90.00      189.00      0.0008      -90.00      189.00      0.0000       90.00      189.00      0.0000       90.00      189.00      0.0000       90.00      189.00      0.0006      -90.00
      190.00      0.0017      -90.00      190.00      0.0000       90.00      190.00      0.0000       90.00      190.00      0.0000       90.00      190.00      0.0008      -90.00      190.00      0.0000       90.00      190.00      0.0000       90.00      190.00      0.0000       90.00      190.00      0.0006      -90.00
      191.00      0.0017      -90.00      191.00      0.0000       90.00      191.00      0.0000       90.00      191.00      0.0000       90.00      191.00      0.0008      -90.00      191.00      0.0000       90.00      191.00      0.0000       90.00      191.00      0.0000       90.00      191.00      0.0006      -90.00
      192.00      0.0017      -90.00      192.00      0.0000       90.00      192.00      0.0000       90.00      192.00      0.0000       90.00      192.00      0.0008      -90.00      192.00      0.0000       90.00      192.00      0.0000       90.00      192.00      0.0000       90.00      192.00      0.0006      -90.00
      193.00      0.0017      -90.00      193.00      0.0000       90.00      193.00      0.0000       90.00      193.00      0.0000       90.00      193.00      0.0008      -90.00      193.00      0.0000       90.00      193.00      0.0000       90.00      193.00      0.0000       90.00      193.00      0.0006      -90.00
      194.00      0.0016      -90.00      194.00      0.0000       90.00      194.00      0.0000       90.00      194.00      0.0000       90.00      194.00      0.0008      -90.00      194.00      0.0000       90.00      194.00      0.0000       90.00      194.00      0.0000       90.00      194.00      0.0005      -90.00
      195.00      0.0016      -90.00      195.00      0.0000       90.00      195.00      0.0000       90.00      195.00      0.0000       90.00      195.00      0.0008      -90.00      195.00      0.0000       90.00      195.00      0.0000       90.00      195.00      0.0000       90.00      195.00      0.0005      -90.00
      196.00      0.0016      -90.00      196.00      0.0000       90.00      196.00      0.0000       90.00      196.00      0.0000       90.00      196.00      0.0008      -90.00      196.00      0.0000       90.00      196.00      0.0000       90.00      196.00      0.0000       90.00      196.00      0.0005      -90.00
      197.00      0.0016      -90.00      197.00      0.0000       90.00      197.00      0.0000       90.00      197.00      0.0000       90.00      197.00      0.0008      -90.00      197.00      0.0000       90.00      197.00      0.0000       90.00      197.00      0.0000       90.00      197.00      0.0005      -90.00
      198.00      0.0016      -90.00      198.00      0.0000       90.00      198.00      0.0000       90.00      198.00      0.0000       90.00      198.00      0.0008      -90.00      198.00      0.0000       90.00      198.00      0.0000       90.00      198.00      0.0000       90.00      198.00      0.0005      -90.00
      199.00      0.0016      -90.00      199.00      0.0000       90.00      199.00      0.0000       90.00      199.00      0.0000       90.00      199.00      0.0008      -90.00      199.00      0.0000       90.00      199.00      0.0000       90.00      199.00      0.0000       90.00      199.00      0.0005      -90.00
      200.00      0.0016      -90.00      200.00      0.0000       90.00      200.00      0.0000       90.00      200.00      0.0000       90.00      200.00      0.0008      -90.00      200.00      0.0000       90.00      200.00      0.0000       90.00      200.00      0.0000       90.00      200.00      0.0005      -90.00

Natural Frequencies:
13.0254
4.90613
9.21425

Hysteretic proportional damping:
Frequencies:
(13.0295,0.325533)
(4.90766,0.122615)
(9.21712,0.230284)
