    Freq(Hz)    Mag(0,0)  Phase(0,0)    Freq(Hz)    Mag(0,1)  Phase(0,1)    Freq(Hz)    Mag(0,2)  Phase(0,2)    Freq(Hz)    Mag(1,0)  Phase(1,0)    Freq(Hz)    Mag(1,1)  Phase(1,1)    Freq(Hz)    Mag(1,2)  Phase(1,2)    Freq(Hz)    Mag(2,0)  Phase(2,0)    Freq(Hz)    Mag(2,1)  Phase(2,1)    Freq(Hz)    Mag(2,2)  Phase(2,2)
       25.00      0.0170      -90.00       25.00      0.0008       90.00       25.00      0.0005       90.00       25.00      0.0008       90.00       25.00      0.0073      -90.00       25.00      0.0002       90.00       25.00      0.0005       90.00       25.00      0.0002       90.00       25.00      0.0046      -90.00
       26.00      0.0159      -90.00       26.00      0.0007       90.00       26.00      0.0004       90.00       26.00      0.0007       90.00       26.00      0.0069      -90.00       26.00      0.0002       90.00       26.00      0.0004       90.00       26.00      0.0002       90.00       26.00      0.0044      -90.00
       27.00      0.0150      -90.00       27.00      0.0006       90.00       27.00      0.0004       90.00       27.00      0.0006       90.00       27.00      0.0066      -90.00       27.00      0.0002       90.00       27.00      0.0004       90.00       27.00      0.0002       90.00       27.00      0.0042      -90.00
       28.00      0.0142      -90.00       28.00      0.0005       90.00       28.00      0.0003       90.00       28.00      0.0005       90.00       28.00      0.0063      -90.00       28.00      0.0001       90.00       28.00      0.0003       90.00       28.00      0.0001       90.00       28.00      0.0041      -90.00
       29.00      0.0134      -90.00       29.00      0.0004       90.00       29.00      0.0003       90.00       29.00      0.0004       90.00       29.00      0.0061      -90.00       29.00      0.0001       90.00       29.00      0.0003       90.00       29.00      0.0001       90.00       29.00      0.0039      -90.00
       30.00      0.0128      -90.00       30.00      0.0004       90.00       30.00      0.0002       90.00       30.00      0.0004       90.00       30.00      0.0058      -90.00       30.00      0.0001       90.00       30.00      0.0002       90.00       30.00      0.0001       90.00       30.00      0.0038      -90.00
       31.00      0.0122      -90.00       31.00      0.0003       90.00       31.00      0.0002       90.00       31.00      0.0003       90.00       31.00      0.0056      -90.00       31.00      0.0001       90.00       31.00      0.0002       90.00       31.00      0.0001       90.00       31.00      0.0036      -90.00
       32.00      0.0117      -90.00       32.00      0.0003       90.00       32.00      0.0002       90.00       32.00      0.0003       90.00       32.00      0.0054      -90.00       32.00      0.0001       90.00       32.00      0.0002       90.00       32.00      0.0001       90.00       32.00      0.0035      -90.00
       33.00      0.0112      -90.00       33.00      0.0003       90.00       33.00      0.0002       90.00       33.00      0.0003       90.00       33.00      0.0052      -90.00       33.00      0.0001       90.00       33.00      0.0002       90.00       33.00      0.0001       90.00       33.00      0.0034      -90.00
       34.00      0.0108      -90.00       34.00      0.0002       90.00       34.00      0.0002       90.00       34.00      0.0002       90.00       34.00      0.0050      -90.00       34.00      0.0001       90.00       34.00      0.0002       90.00       34.00      0.0001       90.00       34.00      0.0033      -90.00
       35.00      0.0104      -90.00       35.00      0.0002       90.00       35.00      0.0001       90.00       35.00      0.0002       90.00       35.00      0.0049      -90.00       35.00      0.0001       90.00       35.00      0.0001       90.00       35.00      0.0001       90.00       35.00      0.0032      -90.00
       36.00      0.0100      -90.00       36.00      0.0002       90.00       36.00      0.0001       90.00       36.00      0.0002       90.00       36.00      0.0047      -90.00       36.00      0.0001       90.00       36.00      0.0001       90.00       36.00      0.0001       90.00       36.00      0.0031      -90.00
       37.00      0.0097      -90.00       37.00      0.0002       90.00       37.00      0.0001       90.00       37.00      0.0002       90.00       37.00      0.0046      -90.00       37.00      0.0001       90.00       37.00      0.0001       90.00       37.00      0.0001       90.00       37.00      0.0030      -90.00
       38.00      0.0094      -90.00       38.00      0.0002       90.00       38.00      0.0001       90.00       38.00      0.0002       90.00       38.00      0.0044      -90.00       38.00      0.0001       90.00       38.00      0.0001       90.00       38.00      0.0001       90.00       38.00      0.0029      -90.00
       39.00      0.0091      -90.00       39.00      0.0002       90.00       39.00      0.0001       90.00       39.00      0.0002       90.00       39.00      0.0043      -90.00       39.00      0.0000       90.00       39.00      0.0001       90.00       39.00      0.0000       90.00       39.00      0.0028      -90.00
       40.00      0.0088      -90.00       40.00      0.0001       90.00       40.00      0.0001       90.00       40.00      0.0001       90.00       40.00      0.0042      -90.00       40.00      0.0000       90.00       40.00      0.0001       90.00       40.00      0.0000       90.00       40.00      0.0027      -90.00
       41.00      0.0085      -90.00       41.00      0.0001       90.00       41.00      0.0001       90.00       41.00      0.0001       90.00       41.00      0.0041      -90.00       41.00      0.0000       90.00       41.00      0.0001       90.00       41.00      0.0000       90.00       41.00      0.0027      -90.00
       42.00      0.0083      -90.00       42.00      0.0001       90.00       42.00      0.0001       90.00       42.00      0.0001       90.00       42.00      0.0040      -90.00       42.00      0.0000       90.00       42.00      0.0001       90.00       42.00      0.0000       90.00       42.00      0.0026      -90.00
       43.00      0.0081      -90.00       43.00      0.0001       90.00       43.00      0.0001       90.00       43.00      0.0001       90.00       43.00      0.0039      -90.00       43.00      0.0000       90.00       43.00      0.0001       90.00       43.00      0.0000       90.00       43.00      0.0025      -90.00
       44.00      0.0079      -90.00       44.00      0.0001       90.00       44.00      0.0001       90.00       44.00      0.0001       90.00       44.00      0.0038      -90.00       44.00      0.0000       90.00       44.00      0.0001       90.00       44.00      0.0000       90.00       44.00      0.0025      -90.00
       45.00      0.0077      -90.00       45.00      0.0001       90.00       45.00      0.0001       90.00       45.00      0.0001       90.00       45.00      0.0037      -90.00       45.00      0.0000       90.00       45.00      0.0001       90.00       45.00      0.0000       90.00       45.00      0.0024      -90.00
       46.00      0.0075      -90.00       46.00      0.0001       90.00       46.00      0.0001       90.00       46.00      0.0001       90.00       46.00      0.0036      -90.00       46.00      0.0000       90.00       46.00      0.0001       90.00       46.00      0.0000       90.00       46.00      0.0024      -90.00
