receptance constructor:
viscous constructor:
     72.0000      0.0003     -0.0003     -0.0000   -179.7278      0.0050      0.0003
     73.0000      0.0003     -0.0003     -0.0000   -179.7320      0.0050      0.0002
     74.0000      0.0003     -0.0003     -0.0000   -179.7359      0.0050      0.0002
     75.0000      0.0002     -0.0002     -0.0000   -179.7398      0.0050      0.0002
     76.0000      0.0002     -0.0002     -0.0000   -179.7436      0.0050      0.0002
     77.0000      0.0002     -0.0002     -0.0000   -179.7472      0.0050      0.0002
     78.0000      0.0002     -0.0002     -0.0000   -179.7508      0.0050      0.0002
     79.0000      0.0002     -0.0002     -0.0000   -179.7542      0.0050      0.0002
     80.0000      0.0002     -0.0002     -0.0000   -179.7575      0.0050      0.0002
     81.0000      0.0002     -0.0002     -0.0000   -179.7608      0.0050      0.0002
     82.0000      0.0002     -0.0002     -0.0000   -179.7639      0.0050      0.0002
     83.0000      0.0002     -0.0002     -0.0000   -179.7670      0.0050      0.0002
     84.0000      0.0002     -0.0002     -0.0000   -179.7700      0.0050      0.0002
     85.0000      0.0002     -0.0002     -0.0000   -179.7729      0.0050      0.0002
     86.0000      0.0002     -0.0002     -0.0000   -179.7758      0.0050      0.0002
     87.0000      0.0002     -0.0002     -0.0000   -179.7785      0.0050      0.0002
     88.0000      0.0002     -0.0002     -0.0000   -179.7812      0.0050      0.0002
     89.0000      0.0002     -0.0002     -0.0000   -179.7839      0.0050      0.0002
     90.0000      0.0002     -0.0002     -0.0000   -179.7864      0.0050      0.0002
     91.0000      0.0002     -0.0002     -0.0000   -179.7889      0.0050      0.0002
     92.0000      0.0002     -0.0002     -0.0000   -179.7914      0.0050      0.0002
     93.0000      0.0002     -0.0002     -0.0000   -179.7938      0.0050      0.0002
     94.0000      0.0002     -0.0002     -0.0000   -179.7961      0.0050      0.0001
     95.0000      0.0002     -0.0002     -0.0000   -179.7984      0.0050      0.0001
     96.0000      0.0001     -0.0001     -0.0000   -179.8006      0.0050      0.0001
     97.0000      0.0001     -0.0001     -0.0000   -179.8028      0.0050      0.0001
