    Freq(Hz)    Mag(0,0)  Phase(0,0)    Freq(Hz)    Mag(0,1)  Phase(0,1)    Freq(Hz)    Mag(0,2)  Phase(0,2)    Freq(Hz)    Mag(1,0)  Phase(1,0)    Freq(Hz)    Mag(1,1)  Phase(1,1)    Freq(Hz)    Mag(1,2)  Phase(1,2)    Freq(Hz)    Mag(2,0)  Phase(2,0)    Freq(Hz)    Mag(2,1)  Phase(2,1)    Freq(Hz)    Mag(2,2)  Phase(2,2)
       24.00      0.0001     -180.00       24.00      0.0000        0.00       24.00      0.0000        0.00       24.00      0.0000        0.00       24.00      0.0001     -180.00       24.00      0.0000        0.00       24.00      0.0000        0.00       24.00      0.0000        0.00       24.00      0.0000     -180.00
       25.00      0.0001     -180.00       25.00      0.0000        0.00       25.00      0.0000        0.00       25.00      0.0000        0.00       25.00      0.0000     -180.00       25.00      0.0000        0.00       25.00      0.0000        0.00       25.00      0.0000        0.00       25.00      0.0000     -180.00
       26.00      0.0001     -180.00       26.00      0.0000        0.00       26.00      0.0000        0.00       26.00      0.0000        0.00       26.00      0.0000     -180.00       26.00      0.0000        0.00       26.00      0.0000        0.00       26.00      0.0000        0.00       26.00      0.0000     -180.00
       27.00      0.0001     -180.00       27.00      0.0000        0.00       27.00      0.0000        0.00       27.00      0.0000        0.00       27.00      0.0000     -180.00       27.00      0.0000        0.00       27.00      0.0000        0.00       27.00      0.0000        0.00       27.00      0.0000     -180.00
       28.00      0.0001     -180.00       28.00      0.0000        0.00       28.00      0.0000        0.00       28.00      0.0000        0.00       28.00      0.0000     -180.00       28.00      0.0000        0.00       28.00      0.0000        0.00       28.00      0.0000        0.00       28.00      0.0000     -180.00
       29.00      0.0001     -180.00       29.00      0.0000        0.00       29.00      0.0000        0.00       29.00      0.0000        0.00       29.00      0.0000     -180.00       29.00      0.0000        0.00       29.00      0.0000        0.00       29.00      0.0000        0.00       29.00      0.0000     -180.00
       30.00      0.0001     -180.00       30.00      0.0000        0.00       30.00      0.0000        0.00       30.00      0.0000        0.00       30.00      0.0000     -180.00       30.00      0.0000        0.00       30.00      0.0000        0.00       30.00      0.0000        0.00       30.00      0.0000     -180.00
       31.00      0.0001     -180.00       31.00      0.0000        0.00       31.00      0.0000        0.00       31.00      0.0000        0.00       31.00      0.0000     -180.00       31.00      0.0000        0.00       31.00      0.0000        0.00       31.00      0.0000        0.00       31.00      0.0000     -180.00
       32.00      0.0001     -180.00       32.00      0.0000        0.00       32.00      0.0000        0.00       32.00      0.0000        0.00       32.00      0.0000     -180.00       32.00      0.0000        0.00       32.00      0.0000        0.00       32.00      0.0000        0.00       32.00      0.0000     -180.00
       33.00      0.0001     -180.00       33.00      0.0000        0.00       33.00      0.0000        0.00       33.00      0.0000        0.00       33.00      0.0000     -180.00       33.00      0.0000        0.00       33.00      0.0000        0.00       33.00      0.0000        0.00       33.00      0.0000     -180.00
       34.00      0.0001     -180.00       34.00      0.0000        0.00       34.00      0.0000        0.00       34.00      0.0000        0.00       34.00      0.0000     -180.00       34.00      0.0000        0.00       34.00      0.0000        0.00       34.00      0.0000        0.00       34.00      0.0000     -180.00
       35.00      0.0000     -180.00       35.00      0.0000        0.00       35.00      0.0000        0.00       35.00      0.0000        0.00       35.00      0.0000     -180.00       35.00      0.0000        0.00       35.00      0.0000        0.00       35.00      0.0000        0.00       35.00      0.0000     -180.00
       36.00      0.0000     -180.00       36.00      0.0000        0.00       36.00      0.0000        0.00       36.00      0.0000        0.00       36.00      0.0000     -180.00       36.00      0.0000        0.00       36.00      0.0000        0.00       36.00      0.0000        0.00       36.00      0.0000     -180.00
       37.00      0.0000     -180.00       37.00      0.0000        0.00       37.00      0.0000        0.00       37.00      0.0000        0.00       37.00      0.0000     -180.00       37.00      0.0000        0.00       37.00      0.0000        0.00       37.00      0.0000        0.00       37.00      0.0000     -180.00
       38.00      0.0000     -180.00       38.00      0.0000        0.00       38.00      0.0000        0.00       38.00      0.0000        0.00       38.00      0.0000     -180.00       38.00      0.0000        0.00       38.00      0.0000        0.00       38.00      0.0000        0.00       38.00      0.0000     -180.00
       39.00      0.0000     -180.00       39.00      0.0000        0.00       39.00      0.0000        0.00       39.00      0.0000        0.00       39.00      0.0000     -180.00       39.00      0.0000        0.00       39.00      0.0000        0.00       39.00      0.0000        0.00       39.00      0.0000     -180.00
       40.00      0.0000     -180.00       40.00      0.0000        0.00       40.00      0.0000        0.00       40.00      0.0000        0.00       40.00      0.0000     -180.00       40.00      0.0000        0.00       40.00      0.0000        0.00       40.00      0.0000        0.00       40.00      0.0000     -180.00
       41.00      0.0000     -180.00       41.00      0.0000        0.00       41.00      0.0000        0.00       41.00      0.0000        0.00       41.00      0.0000     -180.00       41.00      0.0000        0.00       41.00      0.0000        0.00       41.00      0.0000        0.00       41.00      0.0000     -180.00
       42.00      0.0000     -180.00       42.00      0.0000        0.00       42.00      0.0000        0.00       42.00      0.0000        0.00       42.00      0.0000     -180.00       42.00      0.0000        0.00       42.00      0.0000        0.00       42.00      0.0000        0.00       42.00      0.0000     -180.00
       43.00      0.0000     -180.00       43.00      0.0000        0.00       43.00      0.0000        0.00       43.00      0.0000        0.00       43.00      0.0000     -180.00       43.00      0.0000        0.00       43.00      0.0000        0.00       43.00      0.0000        0.00       43.00      0.0000     -180.00
       44.00      0.0000     -180.00       44.00      0.0000        0.00       44.00      0.0000        0.00       44.00      0.0000        0.00       44.00      0.0000     -180.00       44.00      0.0000        0.00       44.00      0.0000        0.00       44.00      0.0000        0.00       44.00      0.0000     -180.00
       45.00      0.0000     -180.00       45.00      0.0000        0.00       45.00      0.0000        0.00       45.00      0.0000        0.00       45.00      0.0000     -180.00       45.00      0.0000        0.00       45.00      0.0000        0.00       45.00      0.0000        0.00       45.00      0.0000     -180.00
       46.00      0.0000     -180.00       46.00      0.0000        0.00       46.00      0.0000        0.00       46.00      0.0000        0.00       46.00      0.0000     -180.00       46.00      0.0000        0.00       46.00      0.0000        0.00       46.00      0.0000        0.00       46.00      0.0000     -180.00
       47.00      0.0000     -180.00       47.00      0.0000        0.00       47.00      0.0000        0.00       47.00      0.0000        0.00       47.00      0.0000     -180.00       47.00      0.0000        0.00       47.00      0.0000        0.00       47.00      0.0000        0.00       47.00      0.0000     -180.00
       48.00      0.0000     -180.00       48.00      0.0000        0.00       48.00      0.0000        0.00       48.00      0.0000        0.00       48.00      0.0000     -180.00       48.00      0.0000        0.00       48.00      0.0000        0.00       48.00      0.0000        0.00       48.00      0.0000     -180.00
       49.00      0.0000     -180.00       49.00      0.0000        0.00       49.00      0.0000        0.00       49.00      0.0000        0.00       49.00      0.0000     -180.00       49.00      0.0000        0.00       49.00      0.0000        0.00       49.00      0.0000        0.00       49.00      0.0000     -180.00
       50.00      0.0000     -180.00       50.00      0.0000        0.00       50.00      0.0000        0.00       50.00      0.0000        0.00       50.00      0.0000     -180.00       50.00      0.0000        0.00       50.00      0.0000        0.00       50.00      0.0000        0.00       50.00      0.0000     -180.00
       51.00      0.0000     -180.00       51.00      0.0000        0.00       51.00      0.0000        0.00       51.00      0.0000        0.00       51.00      0.0000     -180.00       51.00      0.0000        0.00       51.00      0.0000        0.00       51.00      0.0000        0.00       51.00      0.0000     -180.00
       52.00      0.0000     -180.00       52.00      0.0000        0.00       52.00      0.0000        0.00       52.00      0.0000        0.00       52.00      0.0000     -180.00       52.00      0.0000        0.00       52.00      0.0000        0.00       52.00      0.0000        0.00       52.00      0.0000     -180.00
       53.00      0.0000     -180.00       53.00      0.0000        0.00       53.00      0.0000        0.00       53.00      0.0000        0.00       53.00      0.0000     -180.00       53.00      0.0000        0.00       53.00      0.0000        0.00       53.00      0.0000        0.00       53.00      0.0000     -180.00
       54.00      0.0000     -180.00       54.00      0.0000        0.00       54.00      0.0000        0.00       54.00      0.0000        0.00       54.00      0.0000     -180.00       54.00      0.0000        0.00       54.00      0.0000        0.00       54.00      0.0000        0.00       54.00      0.0000     -180.00
       55.00      0.0000     -180.00       55.00      0.0000        0.00       55.00      0.0000        0.00       55.00      0.0000        0.00       55.00      0.0000     -180.00       55.00      0.0000        0.00       55.00      0.0000        0.00       55.00      0.0000        0.00       55.00      0.0000     -180.00
       56.00      0.0000     -180.00       56.00      0.0000        0.00       56.00      0.0000        0.00       56.00      0.0000        0.00       56.00      0.0000     -180.00       56.00      0.0000        0.00       56.00      0.0000        0.00       56.00      0.0000        0.00       56.00      0.0000     -180.00
       57.00      0.0000     -180.00       57.00      0.0000        0.00       57.00      0.0000        0.00       57.00      0.0000        0.00       57.00      0.0000     -180.00       57.00      0.0000        0.00       57.00      0.0000        0.00       57.00      0.0000        0.00       57.00      0.0000     -180.00
       58.00      0.0000     -180.00       58.00      0.0000        0.00       58.00      0.0000        0.00       58.00      0.0000        0.00       58.00      0.0000     -180.00       58.00      0.0000        0.00       58.00      0.0000        0.00       58.00      0.0000        0.00       58.00      0.0000     -180.00
       59.00      0.0000     -180.00       59.00      0.0000        0.00       59.00      0.0000        0.00       59.00      0.0000        0.00       59.00      0.0000     -180.00       59.00      0.0000        0.00       59.00      0.0000        0.00       59.00      0.0000        0.00       59.00      0.0000     -180.00
