         X,m         Y,m         Z,m
      0.0000      0.3161      0.3161
      0.1250      0.2791      0.2791
      0.2500      0.2421      0.2421
      0.3750      0.2050      0.2050
      0.5000      0.1677      0.1677
      0.6500      0.1233      0.1233
      0.8000      0.0797      0.0797
      0.9500      0.0360      0.0360
      1.1000     -0.0084     -0.0084
      1.3500     -0.0833     -0.0833
      1.6000     -0.1580     -0.1580
