Frequency  Magnitude  Phase
    120.3802 1.02007e-06      116.00
    120.5395 1.95471e-06      -88.39
    120.6987   1.799e-06       94.66
    120.8579 8.39973e-07       33.33
    121.0172 2.97796e-06      -74.53
    121.1764 2.81305e-06      120.20
    121.3356 1.08534e-06     -100.26
    121.4949 1.28719e-06       35.90
    121.6541 4.87972e-07      -87.60
    121.8133 1.15693e-06     -108.37
    121.9726 1.73572e-06       95.33
    122.1318 1.94048e-06      -54.08
    122.2910 1.46255e-06      123.84
    122.4503 9.63198e-07      -64.06
    122.6095 5.85635e-07       39.05
    122.7687 2.00325e-06      -98.30
    122.9280 1.85002e-06       96.92
    123.0872 4.48848e-07      -48.57
    123.2464 3.61517e-07     -140.06
    123.4057 6.21525e-07        8.91
    123.5649   5.178e-07        0.89
    123.7241 1.46526e-06     -107.02
    123.8834 1.67287e-06       86.33
    124.0426 1.47575e-06      -80.80
    124.2018 1.02078e-06       57.74
    124.3611 1.56673e-06     -118.51
    124.5203 1.67896e-06       97.51
    124.6795 2.72192e-06      -43.51
    124.8388 1.45547e-06      151.78
    124.9980 5.80016e-07       90.51
    125.1572 1.15667e-06      -87.81
    125.3165 9.97835e-07        1.19
    125.4757 6.82869e-07      -35.25
    125.6349 9.19638e-07     -164.59
    125.7942 9.09961e-07       99.84
    125.9534 1.54851e-06      -34.82
    126.1126 8.08747e-07     -109.37
    126.2719 8.77562e-07       75.81
    126.4311 1.90191e-06      -98.77
    126.5903 1.92405e-06       43.43
    126.7496 1.28327e-06      169.85
    126.9088 2.37417e-06      -74.45
    127.0680 2.77493e-06       58.47
    127.2273 9.76741e-07     -126.77
    127.3865 2.86879e-06      -98.42
    127.5457 1.24185e-06       34.87
    127.7050 1.41816e-06       76.33
    127.8642 1.75831e-06      -71.77
    128.0234 1.55427e-06      160.99
    128.1827 2.16234e-06       -6.21
    128.3419 1.45079e-06     -114.94
    128.5011 1.03214e-06        8.69
    128.6604  1.5588e-06     -122.72
    128.8196 2.39498e-06       32.74
    128.9788 6.06492e-07     -167.99
    129.1381 2.73736e-06      -85.28
    129.2973 2.10067e-06       26.60
    129.4565 1.82154e-06     -161.68
    129.6158 2.69861e-06      -17.76
    129.7750 5.99563e-07     -140.07
    129.9342 6.59996e-07      -37.31
    130.0935  1.5011e-06      -66.79
    130.2527 1.15522e-06       40.74
    130.4119 2.79212e-06      -76.92
    130.5712 1.13682e-06       13.64
    130.7304 5.18162e-07      -99.15
    130.8896 1.38883e-06      -62.31
    131.0489 2.49708e-06      -31.76
    131.2081 5.85107e-07     -162.61
    131.3673 3.00232e-06      -17.72
    131.5266 2.81621e-06      -91.03
    131.6858 5.25284e-07       -6.99
    131.8450 2.93305e-06      -13.11
    132.0043  3.5107e-06     -105.42
    132.1635 2.89855e-06        2.66
    132.3227 3.34615e-06      -41.24
    132.4820 2.73796e-06      -71.40
    132.6412 2.71523e-06      -56.18
    132.8004 3.25385e-06      -15.26
    132.9597 2.63128e-06      -69.71
    133.1189  5.0949e-06      -54.74
    133.2781 4.34224e-06      -43.11
    133.4374 2.93241e-06      -34.00
    133.5966 6.44588e-06      -47.94
    133.7558 5.49781e-06      -46.02
    133.9151 7.00736e-06      -53.88
    134.0743 5.27387e-06      -36.02
    134.2335  9.0144e-06      -56.96
    134.3928 1.05345e-05      -36.60
    134.5520 9.58146e-06      -52.20
    134.7112 1.29161e-05      -53.57
    134.8705 1.32285e-05      -40.30
    135.0297 1.61513e-05      -53.07
    135.1889 1.87796e-05      -39.94
    135.3482 2.42696e-05      -52.18
    135.5074 2.77151e-05      -45.81
    135.6666  3.3402e-05      -46.06
    135.8259 4.21612e-05      -48.96
    135.9851 5.13037e-05      -45.77
    136.1443 6.66803e-05      -49.13
    136.3036 8.77363e-05      -46.64
    136.4628 0.000117649      -47.29
    136.6220 0.000160782      -47.57
    136.7813 0.000236283      -47.33
    136.9405 0.000354805      -47.13
    137.0997 0.000579864      -47.67
    137.2590  0.00104384      -47.22
    137.4182  0.00217741      -47.41
    137.5774  0.00587936      -47.36
    137.7367   0.0289918      -47.37
    137.8959     0.33824      132.63
    138.0551    0.482171      -47.37
    138.2144    0.164506      132.63
    138.3736    0.012036      132.64
    138.5328  0.00351376      132.61
    138.6921  0.00150175      132.64
    138.8513 0.000778338      132.60
    139.0105 0.000456719      132.78
    139.1698 0.000289721      132.48
    139.3290  0.00019519      132.57
    139.4882 0.000139424      132.64
    139.6475 0.000100972      133.06
    139.8067 7.61467e-05      132.31
    139.9659 5.92043e-05      131.38
    140.1252 4.81279e-05      134.88
    140.2844  3.6235e-05      131.87
    140.4436  3.1683e-05      132.15
    140.6029 2.33705e-05      132.93
    140.7621  2.2528e-05      131.92
    140.9213 1.74307e-05      133.87
    141.0806 1.53487e-05      133.29
    141.2398 1.37572e-05      130.84
    141.3990 1.03248e-05      133.47
    141.5583 1.01866e-05      131.32
    141.7175 8.88918e-06      135.56
    141.8767  7.5348e-06      127.84
    142.0360 5.95642e-06      141.15
    142.1952 6.69938e-06      125.24
    142.3544 5.02721e-06      138.97
    142.5137 5.51656e-06      127.11
    142.6729 2.45581e-06      127.32
    142.8321 6.73697e-06      137.74
    142.9914 1.78217e-06      142.05
    143.1506 3.78629e-06      111.21
    143.3098 4.47919e-06      153.35
    143.4691 1.12612e-06       93.58
    143.6283  2.7957e-06      139.27
    143.7875 2.60122e-06      120.30
    143.9468 1.63658e-06      145.09
    144.1060 3.06938e-06      131.63
    144.2652 1.14076e-06      124.70
    144.4245 2.16744e-06      140.31
    144.5837  1.4868e-06       98.75
    144.7429 1.67029e-06      165.08
    144.9022 1.24708e-06      145.22
    145.0614 5.42173e-07       44.63
    145.2206 2.84891e-06      120.65
    145.3799 1.30874e-06     -172.64
    145.5391 2.10916e-06      101.31
    145.6983 8.97513e-07     -129.81
    145.8576 1.65898e-06      123.52
    146.0168 7.17217e-07      119.25
    146.1760 9.61516e-07     -143.60
    146.3352  2.0084e-06       53.53
    146.4945 2.59368e-06      170.94
    146.6537 9.80371e-07      -19.76
    146.8129 1.89412e-06      129.05
    146.9722 7.44611e-07     -151.48
    147.1314 1.74034e-06      109.92
    147.2906 5.39738e-07      -24.63
    147.4499 8.48996e-07      131.18
    147.6091 1.00478e-06      163.55
    147.7683 1.04594e-06      -32.60
    147.9276 1.31459e-06      115.31
    148.0868 7.08655e-07      119.49
    148.2460 1.52163e-06     -157.35
    148.4053 1.85879e-06       43.87
    148.5645 1.45581e-06     -158.95
    148.7237 8.54677e-07      108.11
    148.8830 1.17854e-06        4.86
    149.0422 2.37711e-06     -174.97
    149.2014 1.16271e-06       38.61
    149.3607 6.87248e-07       34.83
    149.5199 1.42505e-06      178.58
    149.6791 1.11605e-06       42.49
    149.8384 1.24668e-06     -113.65
    149.9976 8.17926e-07      152.64
    150.1568 1.35197e-06       94.54
    150.3161 9.53338e-07     -106.90
    150.4753 1.93778e-06        3.64
    150.6345 3.10922e-06      168.66
    150.7938 2.47938e-06       25.29
    150.9530 3.06556e-06     -145.90
    151.1122 3.11488e-06       44.06
    151.2715 2.51945e-06     -139.41
    151.4307 6.08846e-07       96.11
    151.5899 1.32367e-06       57.27
    151.7492 1.46548e-06      -68.10
    151.9084 1.69186e-06      112.90
    152.0676 1.23699e-06     -150.12
    152.2269 1.43801e-06       53.56
    152.3861 1.45228e-06     -114.39
    152.5453 3.31344e-07       79.85
    152.7046 7.64671e-07       57.91
    152.8638 5.95106e-07       54.35
    153.0230 9.56889e-07     -107.67
    153.1823 2.11416e-06      162.76
    153.3415 1.84312e-06       -8.87
    153.5007   2.984e-07     -178.97
    153.6600 2.06444e-06      138.16
    153.8192 2.58919e-06      -46.75
    153.9784 1.15603e-06       78.04
    154.1377 2.34596e-06      177.04
    154.2969 1.82941e-06       -1.61
    154.4561 1.09707e-06      112.29
    154.6154  5.6069e-07      -53.29
    154.7746 9.13782e-07     -139.36
    154.9338 9.89608e-07     -155.41
    155.0931   1.575e-06       83.83
    155.2523 1.15142e-06      -30.92
    155.4115 1.17721e-07       70.26
    155.5708 8.65625e-07      172.34
    155.7300 9.05986e-07      -18.30
    155.8892 1.59472e-06      136.30
    156.0485 2.06389e-06      -75.75
    156.2077 1.91958e-06       91.77
    156.3669 6.79947e-07      -16.30
    156.5262 1.21929e-06      176.45
    156.6854 1.15391e-06      -53.58
    156.8446  1.2581e-06       90.34
    157.0039 1.39164e-06     -155.34
    157.1631 1.48235e-06       31.76
    157.3223 1.10931e-06      -62.48
    157.4816 1.84518e-06      158.78
    157.6408 1.58414e-06       -8.38
    157.8000 1.14004e-06      176.38
    157.9593 3.66033e-07       43.69
    158.1185 9.19653e-07      148.26
    158.2777 1.22993e-06      -17.00
    158.4370 4.55118e-07      -86.80
    158.5962 4.90014e-07     -137.32
    158.7554 1.40939e-06       59.55
    158.9147 1.89856e-06      176.24
    159.0739  7.6368e-07      -65.56
    159.2331 2.19627e-06        8.77
    159.3924 1.94311e-06      175.34
    159.5516 1.15528e-06      -52.68
    159.7108 1.89204e-06      109.67
    159.8701 2.79068e-07        9.15
    160.0293 2.34839e-06      -97.72
    160.1885 1.90142e-06       73.08
    160.3478 1.28588e-06      170.70
    160.5070 2.55569e-06      -23.92
    160.6662 1.40647e-06      165.41
    160.8255 1.18592e-06       70.49
    160.9847 1.48095e-06     -163.19
    161.1439 2.57916e-06       -1.28
    161.3032  2.6046e-06     -165.82
    161.4624 1.59937e-06       18.27
    161.6216  1.1479e-06     -131.05
    161.7809 1.82049e-06       72.18
    161.9401 6.04239e-07      126.37
    162.0993 2.82373e-06      -95.33
    162.2586 2.60953e-06       70.79
    162.4178 1.83493e-06     -150.53
    162.5770 1.38852e-06      -24.01
    162.7363 2.35642e-06       96.60
    162.8955 1.45297e-06      -93.12
