Frequency  Magnitude  Phase
     27.3881 2.42695e-06     -167.46
     27.5473 2.64894e-06       -5.33
     27.7066 1.73314e-06      107.76
     27.8658 1.41942e-06     -109.74
     28.0250  1.8775e-06     -109.97
     28.1843 2.64008e-06       75.54
     28.3435 7.37382e-07      -25.24
     28.5027 4.30643e-07     -119.28
     28.6620 4.33115e-07      155.96
     28.8212 1.35553e-06     -148.83
     28.9804 1.92938e-06        0.43
     29.1397 7.65084e-07      167.12
     29.2989 9.02814e-07      150.75
     29.4581 1.58354e-06       -2.87
     29.6174 1.86153e-06     -179.72
     29.7766 3.09638e-06      -32.72
     29.9358 4.34725e-06      132.41
     30.0951   3.277e-06      -47.75
     30.2543 9.58261e-07      119.73
     30.4135 1.58328e-06     -177.07
     30.5728 2.24021e-06        1.17
     30.7320 1.16572e-06      174.82
     30.8912 1.61436e-06     -118.15
     31.0505 1.92131e-06       64.03
     31.2097 1.13649e-06       -2.20
     31.3689 1.86655e-06     -160.35
     31.5282  7.2312e-07       86.00
     31.6874 1.29441e-06      -54.59
     31.8466 2.52534e-07       -1.12
     32.0059 1.25118e-06      176.32
     32.1651 1.29985e-06       37.59
     32.3243 9.81698e-07     -117.87
     32.4836 1.01513e-06      107.93
     32.6428 1.54208e-06      -18.81
     32.8020 1.48081e-06     -164.11
     32.9613 4.61771e-07       41.54
     33.1205 2.60241e-07       17.43
     33.2797  7.3748e-07      157.25
     33.4390 5.32326e-07      -44.77
     33.5982 2.47133e-07      -43.16
     33.7574 6.25361e-07       54.14
     33.9167 8.28086e-07      151.03
     34.0759 2.05641e-06      -84.71
     34.2351  1.1736e-06       59.09
     34.3944  1.3171e-06      124.44
     34.5536 1.43984e-06      -94.71
     34.7128  1.3867e-06       72.62
     34.8721 9.55733e-07      -65.91
     35.0313 6.62816e-07     -118.17
     35.1905 1.76277e-06       90.57
     35.3498 2.25685e-06     -104.55
     35.5090  1.3494e-06      111.22
     35.6682 1.86967e-06       -6.25
     35.8275 2.28006e-06     -167.97
     35.9867 2.10267e-06       34.15
     36.1459 2.24887e-06     -133.61
     36.3052 2.47942e-06       11.99
     36.4644 2.24065e-06      162.54
     36.6236 1.14117e-06       89.67
     36.7829 2.44844e-06      -46.88
     36.9421 1.81637e-06     -169.29
     37.1013  2.2631e-06       58.01
     37.2606  2.5974e-06     -105.32
     37.4198 1.32309e-06       65.39
     37.5790 6.99938e-07      162.70
     37.7383 1.27638e-06       73.38
     37.8975  2.8785e-06      -83.40
     38.0567 1.47964e-06      118.68
     38.2160 3.16768e-07     -160.46
     38.3752 1.32799e-06       28.51
     38.5344 1.08098e-06     -127.78
     38.6937 5.86333e-07       57.15
     38.8529 1.30948e-06      172.97
     39.0121 1.50796e-06      -45.43
     39.1714 1.11286e-06      105.22
     39.3306 1.45922e-06      -16.58
     39.4898 2.04181e-06      161.01
     39.6491 1.66184e-06      -68.35
     39.8083 2.04791e-06       95.81
     39.9675 1.75016e-06      -58.92
     40.1267 1.80208e-06      164.52
     40.2860 1.93288e-06        9.49
     40.4452 1.11663e-06     -121.16
     40.6044 4.65734e-07     -102.97
     40.7637  1.4396e-06      134.03
     40.9229 1.53575e-06       32.77
     41.0821 2.37656e-06     -122.45
     41.2414 2.33413e-06       49.35
     41.4006 1.55374e-06     -126.98
     41.5598  4.6919e-07       86.04
     41.7191  6.6523e-07      105.72
     41.8783 1.79899e-06      -68.67
     42.0375 1.50894e-06      141.18
     42.1968 1.19268e-06      -12.59
     42.3560 9.90675e-07      107.35
     42.5152 1.10864e-06      -93.44
     42.6745 5.70017e-07       83.27
     42.8337 3.65727e-07      -85.68
     42.9929 4.88702e-07     -161.87
     43.1522 1.19496e-06      138.81
     43.3114 1.75496e-06      -60.32
     43.4706 1.68854e-06       36.87
     43.6299 1.72534e-06      160.56
     43.7891 1.48693e-06      -75.11
     43.9483 1.11108e-06       98.50
     44.1076 1.19291e-06      -57.24
     44.2668  2.0304e-06     -169.78
     44.4260 3.03842e-06       36.32
     44.5853 9.03609e-07     -106.98
     44.7445 1.28892e-06      139.05
     44.9037 2.80423e-06     -118.32
     45.0630 3.89081e-06       56.28
     45.2222 3.74776e-06     -102.32
     45.3814 2.05516e-06       67.50
     45.5407   1.846e-06      144.87
     45.6999 1.35647e-06      -76.99
     45.8591 1.82429e-06      -28.32
     46.0184  3.2431e-06      150.70
     46.1776 2.80326e-06      -15.70
     46.3368 2.40069e-06      142.48
     46.4961 2.85091e-06      -76.83
     46.6553 7.56497e-07      165.76
     46.8145 2.77692e-06       45.93
     46.9738 1.42996e-06     -137.59
     47.1330 9.47635e-07     -161.96
     47.2922 1.41413e-06       29.45
     47.4515 1.20295e-06     -163.99
     47.6107 1.02405e-06      -59.45
     47.7699 2.21612e-06       97.82
