           Mode#,   Frequency(Hz),              T1,              T2,              T3,              R1,              R2,              R3,
             349,          1858.7,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             350,          1860.7,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             351,          1862.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             352,          1864.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             353,          1865.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             354,          1865.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             355,          1865.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             356,          1865.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             357,          1874.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             358,          1876.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             359,          1881.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             360,          1882.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             361,          1886.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             362,          1887.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             363,          1894.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             364,          1896.4,             0.1,             0.0,             0.0,             0.0,             0.0,             0.1,
             365,          1897.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             366,          1897.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             367,          1900.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             368,          1904.7,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             369,          1910.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             370,          1913.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             371,          1919.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             372,          1922.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             373,          1925.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             374,          1930.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             375,          1931.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             376,          1933.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             377,          1934.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             378,          1936.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             379,          1939.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             380,          1941.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             381,          1943.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             382,          1947.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             383,          1949.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             384,          1950.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             385,          1961.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             386,          1966.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             387,          1970.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             388,          1971.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             389,          1971.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             390,          1974.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             391,          1980.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             392,          1983.7,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             393,          1988.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             394,          1994.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             395,          1995.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             396,          1997.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
