           Mode#,   Frequency(Hz),              T1,              T2,              T3,              R1,              R2,              R3,
              82,           681.2,             0.0,             0.0,             0.2,             0.0,             0.1,             0.1,
              83,           684.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
              84,           687.3,             0.0,             0.0,             0.5,             0.0,             0.8,             0.0,
              85,           696.4,             0.0,             0.0,             0.1,             0.0,             0.1,             0.3,
              86,           705.5,             0.0,             0.0,             0.0,             0.0,             0.1,             0.0,
              87,           713.7,             0.0,             0.0,             0.3,             0.0,             0.3,             0.0,
              88,           719.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
              89,           723.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
              90,           726.8,             0.0,             0.0,             0.0,             0.1,             0.0,             0.0,
              91,           735.0,             0.0,             0.0,             0.1,             0.1,             0.0,             0.0,
              92,           737.7,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
              93,           744.2,             0.0,             0.0,             0.0,             0.0,             0.1,             0.0,
              94,           752.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
              95,           753.8,             0.0,             0.0,             0.0,             0.0,             0.1,             0.0,
              96,           759.4,             0.0,             0.0,             0.1,             0.0,             0.1,             0.0,
              97,           762.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
              98,           762.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
              99,           766.1,             0.0,             0.0,             0.1,             0.0,             0.0,             0.0,
             100,           769.3,             0.0,             0.0,             0.0,             0.1,             0.0,             0.0,
             101,           771.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             102,           786.1,             0.0,             0.0,             0.1,             0.3,             0.1,             0.0,
             103,           793.7,             0.0,             0.0,             0.1,             0.1,             0.0,             0.0,
             104,           800.0,             0.0,             0.1,             0.2,             0.2,             0.1,             0.0,
             105,           808.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             106,           812.4,             0.0,             0.0,             0.1,             0.0,             0.0,             0.0,
             107,           819.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             108,           823.2,             0.0,             0.0,             0.4,             0.1,             0.5,             0.0,
             109,           833.6,             0.0,             0.0,             0.1,             0.0,             0.0,             0.0,
             110,           837.5,             0.0,             0.0,             0.0,             0.0,             0.1,             0.0,
             111,           839.2,             0.0,             0.1,             1.0,             0.1,             0.0,             0.2,
             112,           846.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             113,           852.6,             0.0,             0.1,             0.4,             0.0,             0.0,             0.0,
             114,           854.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             115,           857.2,             0.0,             0.1,             0.0,             0.2,             0.0,             0.0,
             116,           877.5,             0.3,             0.1,             1.4,             0.2,             1.2,             0.4,
             117,           880.3,             0.1,             0.0,             0.1,             0.0,             0.1,             0.1,
             118,           881.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             119,           891.6,             0.0,             0.0,             0.1,             0.0,             0.1,             0.0,
             120,           893.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             121,           896.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             122,           901.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             123,           904.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.1,
             124,           912.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             125,           916.3,             0.1,             0.0,             0.0,             0.0,             0.4,             0.2,
             126,           919.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             127,           920.3,             0.0,             0.0,             0.1,             0.0,             0.0,             0.0,
             128,           925.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             129,           932.3,             0.0,             0.1,             0.0,             0.0,             0.1,             0.0,
             130,           938.6,             0.0,             0.0,             0.2,             0.1,             0.2,             0.1,
             131,           941.5,             0.0,             0.0,             0.1,             0.1,             0.3,             0.0,
             132,           946.3,             0.0,             0.0,             0.0,             0.1,             0.0,             0.0,
             133,           956.7,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             134,           958.7,             0.0,             0.0,             0.0,             0.0,             0.2,             0.0,
             135,           963.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             136,           972.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             137,           974.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             138,           979.6,             0.0,             0.0,             0.0,             0.0,             0.1,             0.0,
             139,           981.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             140,           996.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             141,           999.1,             0.0,             0.0,             0.0,             0.0,             0.1,             0.0,
             142,          1003.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             143,          1008.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             144,          1012.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             145,          1013.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             146,          1015.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             147,          1022.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             148,          1024.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             149,          1025.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             150,          1026.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             151,          1026.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             152,          1032.2,             0.0,             0.0,             0.0,             0.0,             0.1,             0.0,
             153,          1036.3,             0.0,             0.0,             0.0,             0.0,             0.3,             0.0,
             154,          1039.0,             0.0,             0.0,             0.0,             0.0,             0.1,             0.0,
             155,          1043.2,             0.0,             0.0,             0.0,             0.0,             0.1,             0.0,
             156,          1049.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             157,          1053.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
