    0.010000     61.6935    120.8978    199.8552
    0.160000     61.6377    120.8364    199.7908
    0.640000     61.4586    120.6398    199.5846
    1.440000     61.1591    120.3114    199.2404
    2.560000     60.7371    119.8500    198.7575
    4.410000     60.0333    119.0838    197.9573
    5.760000     59.5143    118.5216    197.3713
    7.840000     58.7054    117.6499    196.4649
    8.410000     58.4817    117.4099    196.2158
   10.240000     57.7575    116.6358    195.4138
   10.890000     57.4981    116.3597    195.1282
   11.560000     57.2294    116.0743    194.8333
   12.960000     56.6638    115.4756    194.2156
   14.440000     56.0596    114.8393    193.5605
   16.810000     55.0782    113.8127    192.5068
   19.360000     54.0024    112.6976    191.3665
   23.040000     52.4117    111.0683    189.7086
   27.040000     50.6282    109.2693    187.8900
   31.360000     48.6339    107.2922    185.9057
   36.000000     46.4075    105.1269    183.7506
