                     X,m          mode#1U(0.0Hz)        mode#2U(198.9Hz)        mode#3U(402.5Hz)
                1.000000                0.124922               -0.001053               -0.004298
                2.000000                0.124922                0.213396                3.578948
                3.000000                0.124922               19.613946               -1.173847
