           k   psiL(deg)        beta       P/P_e(e/2l=0.04)        f/2L
      0.0872    118.9431      1.0669                 0.4613      0.1212
      0.1736    106.3424      1.2933                 0.6779      0.1720
      0.2588    100.8738      1.4017                 0.7963      0.2195
      0.3420     97.6505      1.4780                 0.8853      0.2622
      0.4226     95.4192      1.5447                 0.9670      0.2994
      0.5000     93.7102      1.6110                 1.0518      0.3305
      0.5736     92.3066      1.6821                 1.1467      0.3547
      0.6428     91.0928      1.7619                 1.2581      0.3718
      0.7071     90.0000      1.8541                 1.3932      0.3814
      0.7660     89.0103      1.9087                 1.4765      0.3944
      0.8192     88.1155      1.9774                 1.5847      0.4006
      0.8660     87.2889      2.0620                 1.7232      0.4001
      0.9063     86.5118      2.1651                 1.8999      0.3931
      0.9397     85.7710      2.2902                 2.1257      0.3801
      0.9659     85.0595      2.4404                 2.4137      0.3617
