           k   psiL(deg)        beta       P/P_e(e/2l=0.00)        f/2L
      0.0872     90.0000      1.5738                 1.0038      0.0554
      0.1736     90.0000      1.5828                 1.0154      0.1097
      0.2588     90.0000      1.5981                 1.0351      0.1619
      0.3420     90.0000      1.6200                 1.0637      0.2111
      0.4226     90.0000      1.6490                 1.1020      0.2563
      0.5000     90.0000      1.6858                 1.1517      0.2966
      0.5736     90.0000      1.7312                 1.2147      0.3313
      0.6428     90.0000      1.7868                 1.2939      0.3597
      0.7071     90.0000      1.8541                 1.3932      0.3814
      0.7660     90.0000      1.9356                 1.5184      0.3958
      0.8192     90.0000      2.0347                 1.6779      0.4026
      0.8660     90.0000      2.1565                 1.8848      0.4016
      0.9063     90.0000      2.3088                 2.1604      0.3925
      0.9397     90.0000      2.5046                 2.5423      0.3752
      0.9659     90.0000      2.7681                 3.1054      0.3490
